Title,Reference,Publication Date,Risk Level,Impact Level,Affected Systems,Vulnerability Summary,Solution,URL
Mises à jour de sécurité pour des produits de Fortinet,50091010/24,10 octobre 2024,Important,Important,"FortiManager versions 7.x antérieures à 7.2.6, FortiManager versions 7.4.x antérieures à 7.4.3, FortiAnalyzer versions 7.4.x antérieures à 7.4.4, FortiAnalyzer versions 7.2.x antérieures à 7.2.6, FortiAnalyzer Cloud versions 7.4.x antérieures à 7.4.4, FortiAnalyzer Cloud versions 7.2.x antérieures à 7.2.7","Fortinet annonce la disponibilité de mises à jour de sécurité permettant la correction            de deux vulnérabilités affectant ses produits susmentionnés. L'exploitation de ces vulnérabilités peut permettre à un attaquant distant d’exécuter du code arbitraire, d’accéder à des informations confidentielles ou d’élever ses privilèges.",Veuillez se référer aux bulletins de sécurité de Fortinet pour mettre à jour vos produits.,https://www.dgssi.gov.ma/fr/bulletins/mises-jour-de-securite-pour-des-produits-de-fortinet-11
Vulnérabilité critique dans le thème « Bootstrap Ultimate »,52142401/25,24 janvier 2025,Critique,Critique,bootstrap-ultimate thème 1.4.9  et version antérieure,"Une vulnérabilité critique a été identifiée dans le thème « Bootstrap Ultimate » pour WordPress. Une exploitation réussie de cette faille pourrait permettre à un attaquant d'inclure des fichiers PHP sur le serveur, permettant l'exécution de n'importe quel code PHP dans ces fichiers. Ceci peut être utilisé pour contourner les contrôles d'accès, obtenir des données sensibles, ou exécuter du code à distance.",Veuillez se référer au bulletin de sécurité Wordfence du 23 Janvier 2025 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-le-theme-bootstrap-ultimate
Exploitation d’une faille critique dans Microsoft Word,40710803/23,08 mars 2023,Important,Important,No Affected Systems,"Une preuve de concept pour «CVE-2023-21716»,une vulnérabilité critique dans Microsoft Word qui permet l'exécution de code à distance, a été récemment publiée.Les Emails de phishing peuvent être utilisés comme un vecteur d’attaque lorsque l'utilisateur ouvreun do-cument RTF spécialement conçu.La vulnérabilité a reçu une note de criticitéde 9,8 sur 10, et Microsoft l'a corrigée dans son patch Tuesday du 14 février 2023",No Solution,https://www.dgssi.gov.ma/fr/bulletins/exploitation-dune-faille-critique-dans-microsoft-word
Vulnérabilités dans Google Chrome,47861206/24,12 juin 2024,Important,Important,"Google Chrome versions antérieures à 126.0.6478.54 pour Linux, Google Chrome versions antérieures à 126.0.6478.56/57 pour Windows et Mac",Google a publié des mises à jour de sécurité pour corriger plusieurs vulnérabilités affectant Google chrome. L’exploitation de ces failles peut permettre à un attaquant de prendre le contrôle du système affecté.,Veuillez se référer au bulletin de sécurité Google pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-google-chrome-14
Vulnérabilités affectant le framework AI LangChain,48512507/24,25 juillet 2024,Important,Important,"LangChain versions antérieures à 0.0.317, LangChain Experimental versions antérieures à 0.0.306",Veuillez se référer à l’éditeur afin d’installer les nouvelles mises à jour.,Contournement de mesures de sécuritéFalsification de requêtes coté serveur,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-framework-ai-langchain
Vulnérabilités critiques affectant SolarWinds Access Rights Manager,48481907/24,19 juillet 2024,Critique,Critique,SolarWinds Access Rights Manager (ARM) versions antérieures à 2023.2.4,"SolarWinds annonce la correction de plusieurs vulnérabilités critiques affectant son produit Access Rights Manager. L'exploitation de  ces vulnérabilités peut permettre à un attaquant distant d’exécuter du code arbitraire, d’accéder à des informations confidentielles ou de contourner des mesures de sécurité.",Veuillez se référer au bulletin de sécurité de l'éditeur pour l'obtention de la solution de remédiation.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-solarwinds-access-rights-manager-0
Vulnérabilité dans VMware Aria Automation,51881301/25,13 janvier 2025,Important,Important,VMware Aria Automation versions antérieures à 8.18.1 patch 1,VMware a corrigée une vulnérabilité affectant les versions susmentionnées de VMware Aria Automation. L’exploitation de cette vulnérabilité peut  permettre  à un attaquant de porter atteinte à la confidentialité des données.,Veuillez se référer au bulletin de sécurité Broadcom  pour plus d’infirmation.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-vmware-aria-automation
Vulnérabilités dans Microsoft Windows (Patch Tuesday Mars 2024),46461303/24,13 mars 2024,Important,Important,"Windows 10 Version 21H2 pour ARM64-based Systems, Windows 11 Version 22H2 pour ARM64-based Systems, Windows Server 2016 (Server Core installation), Windows Server 2016, Windows 10 Version 1809 pour 32-bit Systems, Windows 10 Version 1607 pour x64-based Systems, Windows 10 Version 1607 pour 32-bit Systems, Windows 10 pour x64-based Systems, Windows 10 pour 32-bit Systems, Windows 10 Version 22H2 pour 32-bit Systems, Windows 10 Version 22H2 pour ARM64-based Systems, Windows 10 Version 22H2 pour x64-based Systems, Windows 11 Version 22H2 pour x64-based Systems, Windows 11 Version 23H2 pour x64-based Systems, Windows 11 Version 23H2 pour ARM64-based Systems, Windows Server 2022 (Server Core installation), Windows Server 2022, Windows Server 2019 (Server Core installation), Windows Server 2019, Windows 10 Version 1809 pour ARM64-based Systems, Windows 10 Version 1809 pour x64-based Systems, Windows 10 Version 21H2 pour 32-bit Systems, Windows 11 version 21H2 pour ARM64-based Systems, Windows 11 version 21H2 pour x64-based Systems, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 21H2 pour x64-based Systems, Windows Defender Antimalware Platform, Windows Server 2008 R2 pour x64-based Systems Service Pack 1, Windows Server 2008 R2 pour x64-based Systems Service Pack 1 (Server Core installation), Windows Server 2008 pour 32-bit Systems Service Pack 2, Windows Server 2008 pour 32-bit Systems Service Pack 2 (Server Core installation), Windows Server 2008 pour x64-based Systems Service Pack 2, Windows Server 2008 pour x64-based Systems Service Pack 2 (Server Core installation), Windows Server 2012, Windows Server 2012 (Server Core installation), Windows Server 2012 R2, Windows Server 2012 R2 (Server Core installation)","Microsoft annonce la correction de plusieurs vulnérabilités dans les  systèmes d’exploitation Windows susmentionnés. L’exploitation de ces failles peut permettre à un attaquant de divulguer des informations confidentielles, d’exécuter du code arbitraire, réussir une élévation de privilèges, de  causer un déni de service et de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Microsoft du 12 Mars 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-microsoft-windows-patch-tuesday-mars-2024
Vulnérabilités critiques affectant la bibliothèque « xml-crypto » de Node.js,53371903/25,19 mars 2025,Critique,Critique,"Xml-crypto, versions antérieures à 6.0.1, 3.2.1 et 2.1.6",Deux vulnérabilités critiques affectant la bibliothèque « xml-crypto » de Node.js ont été   corrigées.   L'exploitation de ces  vulnérabilités peut permettre à un attaquant distant de               contourner l’authentification ou d’élever ses privilèges.,Veuillez se référer au bulletin de sécurité de l'éditeur pour l'obtention des correctifs.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-la-bibliotheque-xml-crypto-de-nodejs
Vulnérabilité critique affectant les imprimantes Lexmark,40012601/23,27 janvier 2023,Important,Modéré,"Pour déterminer si vous êtes concernés par l’un des systèmes affectés, veuillez consulter le bulletin de sécurité de Lexmark",Lexmark vient de publier des mises à jour de sécurité qui permettent de corriger une vulnérabilité critique affectant plusieurs de ses imprimantes. L’exploitation de cette vulnérabilité peut permettre à un attaquant distant d’exécuter du code arbitraire.,Veuillez se référer au bulletin de Lexmark afin d’installer les nouvelles mises à jour,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-les-imprimantes-lexmark
Vulnérabilités affectant plusieurs produits de Cisco,46782803/24,28 mars 2024,Important,Important,"Cisco IOS XE Software, Cisco Access Point Software, Cisco IOS, Cisco IOS Software for Catalyst 6000 Series Switches, Cisco IOS XE Software for Wireless LAN Controllers, Cisco Access Point Software, Cisco Aironet Access Point, Cisco Catalyst Center","Cisco annonce la correction de plusieurs vulnérabilités affectant certaines versions de ses produits susmentionnés. L’exploitation de ces vulnérabilités peut   permettre  à un attaquant d’élever ses privilèges, de contourner les mesures de sécurité ou de causer un déni de service.",Veuillez se référer aux bulletins de sécurité de Cisco pour mettre à jours vos équipements.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-de-cisco-13
Vulnérabilités affectant PostgreSQL,44731411/23,14 novembre 2023,Important,Important,"PostgreSQL 16 versions antérieures à 16.1, PostgreSQL 15 versions antérieures à 15.5, PostgreSQL 14 versions antérieures à, 14.10, PostgreSQL 13 versions antérieures à 13.13, PostgreSQL 12 versions antérieures à 12.17, PostgreSQL 11 versions antérieures à 11.22","PostgreSQL Global Development Group annonce la correction de trois vulnérabilités affectant son produit PostgreSQL. L’exploitation de ces vulnérabilités peut   permettre  à un attaquant distant d’exécuter du code arbitraire, d’accéder à des données confidentielles ou de causer un déni de service.",Veuillez se référer au bulletin de sécurité de PostgreSQL  pour installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-postgresql
Vulnérabilité dans Juniper Junos OS,42522206/23,22 juin 2023,Important,Important,"Junos OS15.1R1 versions antérieures à  20.4R3-S8;, Junos OS21.1 version 21.1R1 versions antérieures à  21.2R3-S6;, Junos OS21.3 versions antérieures à  21.3R3-S5;, Junos OS21.4 versions antérieures à  21.4R3-S4;, Junos OS22.1 versions antérieures à  22.1R3-S4;, Junos OS22.2 versions antérieures à  22.2R3-S2;, Junos OS22.3 versions antérieures à  22.2R3-S2;, Junos OS22.4 versions antérieures à  22.4R2-S1, 22.4R3;, Junos OS23.1 versions antérieures à  23.1R1-S1, 23.1R2 ;, Junos OS EvolvedToutes versions antérieures à  20.4R3-S8-EVO;, Junos OS Evolved21.1 version 21.1R1-EVO versions antérieures à  21.2R3-S6-EVO;, Junos OS Evolved21.3 versions antérieures à  21.3R3-S5-EVO;, Junos OS Evolved21.4 versions antérieures à  21.4R3-S4-EVO;, Junos OS Evolved22.1 versions antérieures à  22.1R3-S4-EVO;, Junos OS Evolved22.2 versions antérieures à  22.2R3-S2-EVO;, Junos OS Evolved22.3 versions antérieures à  22.3R2-S2-EVO, 22.3R3-S1-EVO;, Junos OS Evolved22.4 versions antérieures à  22.4R2-S1-EVO, 22.4R3-EVO;, Junos OS Evolved23.1 versions antérieures à  23.1R1-S1-EVO, 23.1R2-EVO.",Juniper a publié une mise à jour de sécurité pour corriger une vulnérabilité dans Juniper Junos OS. Un attaquant pourrait exploiter cette faille afin de causer un déni de service ou de contourner la politique de sécurité.,"Veuillez se référer au bulletin de sécurité Juniper du 21 Juin 2023, afin d’installer les nouvelles mises à jour.",https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-juniper-junos-os
VULNÉRABILITÉS DANS LES PRODUITS IBM,42381206/23,12 juin 2023,Important,Important,"IBM WebSphere Service Registry and Repository versions 8.5.x antérieures sans le dernier correctif de sécurité V8.5.6.3_IJ47124, IBM WebSphere Service Registry and Repository Studio versions 8.5.x sans le dernier correctif de sécurité V8.5.6.3_IJ47124, QRadar WinCollect Agent versions 10.0.x à 10.1.x antérieures à 10.1.4, IBM QRadar User Behavior Analytics versions 1.x à 4.1.x antérieures à 4.1.12, IBM QRadar Deployment Intelligence App versions 2.x à 3.0.x antérieures à 3.0.10, IBM MaaS360 Cloud Extender Agent versions antérieures à 3.000.100.069, IBM MaaS360 Cloud Extender Base Module versions antérieures à 3.000.100.069, IBM MaaS360 Configuration Utility versions antérieures à 3.000.100, IBM MaaS360 PKI Certificate Module versions antérieures à 3.000.100, IBM MaaS360 Mobile Enterprise Gateway versions antérieures à 3.000.100, IBM MaaS360 VPN versions antérieures à 3.000.100, IBM Sterling Partner Engagement Manager Essentials Edition versions 6.1.2.x antérieures à 6.1.2.8, IBM Sterling Partner Engagement Manager Standard Edition versions 6.1.2.x antérieures à 6.1.2.8, IBM Sterling Partner Engagement Manager Essentials Edition versions 6.2.0.x antérieures à 6.2.0.6, IBM Sterling Partner Engagement Manager Standard Edition versions 6.2.0.x antérieures à 6.2.0.6, IBM Sterling Partner Engagement Manager Essentials Edition versions 6.2.1.x antérieures à 6.2.1.3, IBM Sterling Partner Engagement Manager Standard Edition versions 6.2.1.x antérieures à 6.2.1.3, IBM Sterling Partner Engagement Manager Essentials Edition versions 6.2.2.x antérieures à 6.2.2.1, IBM Sterling Partner Engagement Manager Standard Edition versions 6.2.2.x antérieures à 6.2.2.1","Plusieurs vulnérabilités ont été corrigées dans les produits IBM susmentionnés. L’exploitation de ces failles pourrait permettre à un attaquant de contourner la politique de sécurité, de causer un déni de service à distance et d’exécuter du code arbitraire à distance.",Veuillez se référer au bulletin de sécurité IBM pour plus d’information,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-ibm-7
Vulnérabilités dans plusieurs produits Microsoft (Patch Tuesday Juin 2024),47781206/24,12 juin 2024,Important,Important,"Microsoft Visual Studio 2022 version 17.8, Microsoft Visual Studio 2022 version 17.6, Microsoft Visual Studio 2022 version 17.4, Microsoft Visual Studio 2022 version 17.10, Microsoft Visual Studio 2019 version 16.11 (includes 16.0 - 16.10), Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8), Microsoft Dynamics 365 Business Central 2024 Release Wave 1, Microsoft Dynamics 365 Business Central 2023 Release Wave 2, Microsoft Dynamics 365 Business Central 2023 Release Wave 1, Microsoft Dynamics 365 (on-premises) version 9.1","Microsoft annonce la correction de plusieurs vulnérabilités affectant les produits Microsoft susmentionnés. L’exploitation de ces vulnérabilités peut permettre à un attaquant de causer un déni de service, de réussir une élévation de privilèges, d’exécuter du code arbitraire à distance, de porter atteinte à la confidentialité de données, de réussir une usurpation d’identité et de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Microsoft du 11 Juin 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-plusieurs-produits-microsoft-patch-tuesday-juin-2024
VULNÉRABILITÉ CRITIQUE AFFECTANT ATLASSIAN CROWD,39302111/22,21 novembre 2022,Important,Important,"Atlassian Crowd 3.0.0 à Crowd 3.7.2, Atlassian Crowd 4.0.0 à Crowd 4.4.3, Atlassian Crowd 5.0.0 à Crowd 5.0.2",Atlassian a publié des mises à jour de sécurité pour corriger une vulnérabilité critique (CVE2022-43782) dans les versions susmentionnées de Crowd. Atlassian explique que l'exploitation de cette faille est possible sous certaines conditions. L'une d'entre elles est la modification de la configuration de l'adresse distante pour inclure une adresse IP qui est « none » par défaut.L'exploit de cette vulnérabilité pourrait permettre à un attaquant de réussir une élévation des privilèges et d’exécuter des commandes arbitraires à distance.,"Veuillez se référer au bulletin de sécurité Atlassian, afin d’installer les dernières mises à jour.",https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-atlassian-crowd
Vulnérabilités affectant plusieurs produits SAP,43281008/23,10 août 2023,Important,Important,"Host Agent, Version – 7.22, SAP Business One (B1i Layer), Version – 10.0, SAP Business Client, Versions - 6.5, 7.0, 7.70, SAP Business One (Service Layer), Version – 10.0, SAP Business One, Version – 10.0, SAP BusinessObjects Business Intelligence (installer), Versions – 420, 430, SAP BusinessObjects Business Intelligence Platform, Versions – 420, SAP BusinessObjects Business Intelligence Platform, Versions – 430, SAP Commerce (OCC API), Versions - HY_COM 2105, HY_COM 2205, COM_CLOUD 2211, SAP Commerce, Versions – HY_COM 2105, HY_COM 2205, COM_CLOUD 2211, SAP ECC and SAP S/4HANA (IS-OIL), Versions - 600, 602, 603, 604, 605, 606, 617, 618, 800, 802, 803, 804, 805, 806, 807, SAP Message Server, Versions – KERNEL 7.22, KERNEL 7.53, KERNEL 7.54, KERNEL 7.77, RNL64UC 7.22, RNL64UC 7.22EXT, RNL64UC 7.53, KRNL64NUC 7.22, KRNL64NUC 7.22EX, SAP NetWeaver AS ABAP and ABAP Platform, Versions – SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758, SAP_BASIS 793, SAP_BASIS 804, SAP NetWeaver Process Integration, Versions - SAP_XIESR 7.50, SAP_XITOOL 7.50, SAP_XIAF 7.50, SAP PowerDesigner, Version – 16.7, SAP Supplier Relationship Management, Versions – 600, 602, 603, 604, 605, 606, 616, 617, SAP NetWeaver (BI CONT ADD ON), Versions – 707, 737, 747, 757","SAP annonce la disponibilité de mises à jour permettant de corriger plusieurs vulnérabilités affectant ses produits susmentionnés. L’exploitation de ces vulnérabilités peut permettre à un attaquant distant d’exécuter du code arbitraire, de contourner le politique de sécurité, d’accéder à des données confidentielles ou de causer un déni de service.",Veuillez se référer au bulletin de sécurité de SAP afin d’installer les nouvelles mises à jour,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-sap-6
Vulnérabilités dans les produits industriels de Schneider Electric,41841105/23,11 mai 2023,Important,Important,"Altivar 32/320 et Lexium 32 Ethernet TCP/IP communication module (VW3A3616) versions antérieures à V1.20IE01, EcoStruxure Power Operation versions 2021 antérieures à 2021 CU3, EcoStruxure Power Operation versions 2022 antérieures à 2022 CU1, EcoStruxure Power SCADA Operation versions 2020 R2, Modicon X80 Module (part number BMXNOM0200) versions antérieures à V1.60, OPC Factory Server (OFS) versions antérieures à V3.63SP2, Power SCADA Anywhere versions 1.1 et 1.2 antérieures à Plant SCADA Anywhere version 2023, PowerLogic ION7400 antérieures à 4.0.0 sans le dernier correctif de sécurité, PowerLogic ION8650 toutes versions, PowerLogic ION8800 toutes versions, PowerLogic ION9000 antérieures à 4.0.0 sans le dernier correctif de sécurité, PowerLogic PM8000 antérieures à 4.0.0 sans le dernier correctif de sécurité, Produits Legacy ION toutes versions","Plusieurs vulnérabilités critiques ont été corrigées dans les produits industriels susmentionnés de Schneider Electric. L’exploitation de ces failles permet à un attaquant de causer un déni de service, de réussir une élévation de privilèges et potentiellement réussir une exécution de code à distance.","Veuillez se référer au bulletin de sécurité Schneider Electric, afin d’installer les dernières mises à jour.",https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-industriels-de-schneider-electric-0
Vulnérabilités dans les outils de développement Microsoft (Patch Tuesday Octobre 2024),50050910/24,09 octobre 2024,Important,Important,".NET 6.0 installed on Linux, .NET 6.0 installed on Mac OS, .NET 6.0 installed on Windows, .NET 8.0 installed on Linux, .NET 8.0 installed on Mac OS, .NET 8.0 installed on Windows, DeepSpeed, Microsoft .NET Framework 2.0 Service Pack 2, Microsoft .NET Framework 3.0 Service Pack 2, Microsoft .NET Framework 3.5, Microsoft .NET Framework 3.5 AND 4.7.2, Microsoft .NET Framework 3.5 AND 4.8, Microsoft .NET Framework 3.5 AND 4.8.1, Microsoft .NET Framework 3.5.1, Microsoft .NET Framework 4.6.2, Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2, Microsoft .NET Framework 4.6/4.6.2, Microsoft .NET Framework 4.8, Microsoft Visual Studio 2015 Update 3, Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8), Microsoft Visual Studio 2019 version 16.11 (includes 16.0 - 16.10), Microsoft Visual Studio 2022 version 17.10, Microsoft Visual Studio 2022 version 17.11, Microsoft Visual Studio 2022 version 17.6, Microsoft Visual Studio 2022 version 17.8, Visual C++ Redistributable Installer, Visual Studio Code","Microsoft annonce la correction de plusieurs vulnérabilités affectant les outils de développement susmentionnés. L’exploitation de ces vulnérabilités peut permettre à un attaquant d’exécuter du code arbitraire à distance, de réussir une élévation de privilèges ou de causer un déni de service.",Veuillez se référer au bulletin de sécurité Microsoft du 08 Octobre 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-outils-de-developpement-microsoft-patch-tuesday-octobre-2024
VULNÉRABILITÉS AFFECTANT LE NAVIGATEUR GOOGLE CHROME,42120106/23,01 juin 2023,Important,Important,"Toutes les versions de Google Chrome antérieures aux versions 114.0.5735.90/91 sur Windows, Toutes les versions de Google Chrome antérieures aux versions 114.0.5735.90 sur Linux, Toutes les versions de Google Chrome antérieures aux versions 114.0.5735.90 sur Mac",Google vient de publier une mise à jour de sécurité qui permet de corriger plusieurs vulnérabilités affectant le navigateur Google Chrome. L’exploitation de ces vulnérabilités peut permettre à un attaquant d’accéder à des informations confidentielles.,Veuillez se référer au bulletin de Google afin d’installer les nouvelles mises à jour.Veuillez se référer au bulletin de Google afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-navigateur-google-chrome-7
Vulnérabilités dans les produits Microsoft Azure (Patch Tuesday Août 2024),48741508/24,15 août 2024,Important,Important,"Azure Connected Machine Agent versions antérieures à 1.44, Azure CycleCloud 8.0.0 versions antérieures à 8.6.3, Azure CycleCloud 8.0.1 versions antérieures à 8.6.3, Azure CycleCloud 8.0.2 versions antérieures à 8.6.3, Azure CycleCloud 8.1.0 versions antérieures à 8.6.3, Azure CycleCloud 8.1.1 versions antérieures à 8.6.3, Azure CycleCloud 8.2.0 versions antérieures à 8.6.3, Azure CycleCloud 8.2.1 versions antérieures à 8.6.3, Azure CycleCloud 8.2.2 versions antérieures à 8.6.3, Azure CycleCloud 8.3.0 versions antérieures à 8.6.3, Azure CycleCloud 8.4.0 versions antérieures à 8.6.3, Azure CycleCloud 8.4.1 versions antérieures à 8.6.3, Azure CycleCloud 8.4.2 versions antérieures à 8.6.3, Azure CycleCloud 8.5.0 versions antérieures à 8.6.3, Azure CycleCloud 8.6.0 versions antérieures à 8.6.3, Azure CycleCloud 8.6.1 versions antérieures à 8.6.3, Azure CycleCloud 8.6.2 versions antérieures à 8.6.3, Azure Health Bot, Azure IoT Hub Device Client SDK versions antérieures à 1.12.1, Azure Linux 3.0 ARM versions antérieures à 2.06-14, Azure Linux 3.0 x64 versions antérieures à 2.06-14, Azure Stack Hub versions antérieures à 1.2311.1.22, C SDK pour Azure IoT versions antérieures à 1.12.1","Plusieurs vulnérabilités ont été corrigées dans les produits Azure susmentionnés. L’exploitation de ces failles permet à un attaquant de réussir une élévation de privilèges, d’exécuter du code arbitraire à distance et de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Microsoft du 13 Août  2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-microsoft-azure-patch-tuesday-aout-2024
Vulnérabilités critiques dans les produits Palo Alto,53281403/25,14 mars 2025,Critique,Critique,"PAN-OS versions 11.2.x antérieures à 11.2.5, PAN-OS versions 11.1.x antérieures à 11.1.8, PAN-OS versions 11.0.x antérieures à 11.0.6, PAN-OS versions 10.2.x antérieures à 10.2.13-h5, PAN-OS versions 10.1.0 antérieures à 10.1.14-h11, Prisma Access Browser versions antérieures à 133.16.4.99, GlobalProtect App pour Windows versions antérieures à 6.2.6, GlobalProtect App pour Windows versions 6.3.x antérieures à 6.3.3","Palo Alto Networks a corrigé des failles de sécurité critiques affectant les produits susmentionnés. Ces vulnérabilités peuvent être exploitées pour réussir une élévation de privilèges, causer un déni de service et de porter atteinte à la confidentialité des données.",Veuillez se référer au bulletin de sécurité Palo Alto du 12 Mars 2025.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-palo-alto-1
Vulnérabilités dans les produits Siemens,53880904/25,09 avril 2025,Important,Important,"SCALANCE LPE9413 (6GK5998-3GS01-2AC2), SIMATIC (et SIPLUS) S7-1200 CPU versions antérieures à V4.4, SIMATIC (et SIPLUS) S7-1500 CPU, SIMATIC (et SIPLUS) S7-300 CPU, SIMATIC CFU DIQ (6ES7655-5PX31-1XX0) versions antérieures à V2.0.0, SIMATIC CFU PA (6ES7655-5PX11-0XX0) versions antérieures à V2.0.0, SIMATIC ET 200, SIMATIC ET 200AL IM 157-1 PN (6ES7157-1AB00-0AB0), SIMATIC ET 200M IM 153-4 PN IO HF (6ES7153-4BA00-0XB0), SIMATIC ET 200MP IM 155-5 PN HF (6ES7155-5AA00-0AC0), SIMATIC IPC BX-39A Industrial Edge Device versions antérieures à V3.0, SIMATIC IPC BX-59A Industrial Edge Device versions antérieures à V3.0, SIMATIC IPC127E Industrial Edge Device versions antérieures à V3.0, SIMATIC IPC227E Industrial Edge Device versions antérieures à V3.0, SIMATIC IPC427E Industrial Edge Device versions antérieures à V3.0, SIMATIC IPC847E Industrial Edge Device versions antérieures à V3.0, SIMATIC PN/PN Coupler (6ES7158-3AD10-0XA0), SIMATIC Power Line Booster PLB, Base Module (6ES7972-5AA10-0AB0), SIMATIC Power Line Booster PLB, Modem Module ST (6ES7972-5AA51-0AB0), SIMATIC S7-400 H V6 CPU family (incl. SIPLUS variants), SIMATIC S7-400 PN/DP V7 CPU family (incl. SIPLUS variants), SIMATIC S7-410 V10 CPU family (incl. SIPLUS variants), SIMATIC S7-410 V8 CPU family (incl. SIPLUS variants) versions antérieures à V8.3, SIMATIC TDC CP51M1, SIMATIC TDC CPU555",Deux vulnérabilités critiques ont été corrigées dans les systèmes industriels de Siemens susmentionnés. Un attaquant pourrait exploiter ces failles afin de causer un déni de service ou contourner la politique de sécurité.,Veuillez se référer au bulletin de sécurité Siemens du 08 Avril 2025 pour plus d’information.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-siemens-3
Vulnérabilité dans Exim,53562803 /25,28 mars 2025,Important,Important,Exim versions 4.98.x antérieures à 4.98.2,Exim annonce la correction d’une vulnérabilité affectant les produits susmentionnés.  L’exploitation de cette  faille permet à un attaquant de réussir une élévation de privilèges.,Veuillez se référer au bulletin de sécurité Exim du 26 mars 2025 afin d’installer les nouvelles mises à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-exim-0
Vulnérabilité dans LibreOffice,42502106/23,20 juin 2023,Important,Important,"LibreOffice versions 7.4.x antérieures à 7.4.6, LibreOffice versions 7.5.x antérieures à 7.5.1",Une vulnérabilité a été corrigée dans LibreOffice. L’exploitation de cette faille peut permettre à un attaquant de porter atteinte la confidentialité des données.,Veuillez se référer au bulletin de sécurité LibreOffice du 19 Juin 2023.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-libreoffice
Vulnérabilités affectant le CMS Joomla,40070302/23,03 février 2023,Modéré,Modéré,Joomla versions antérieures à la version 4.2.7,Joomla annonce la disponibilité d’une mise à jour qui corrige deux vulnérabilités dans son CMS Joomla. L’exploitation de ces vulnérabilités peut permettre à un attaquant l’injection de code indirecte à distance ou le contournement de la politique de sécurité.,Veuillez-vous référer au bulletin de mise à jour de Joomla afin d'installer la nouvelle mise à jour,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-cms-joomla
VULNÉRABILITÉS AFFECTANT DES PRODUITS AMD,39191011/22,10 novembre 2022,Modéré,Modéré,"contact-dsr@dgssi.gov.ma, Tél : +212 5 37 54 03 95, Fax : +212 5 37 71 39 73","AMD annonce la correction de plusieurs vulnérabilités affectant ses produits susmentionnés. En exploitant ces vulnérabilités, un attaquant peut exécuter du code arbitraire, accéder à des informations confidentielles, élever ses privilèges ou causer un déni de service.",Veuillez se référer au bulletin de sécurité de l'éditeur pour l'obtention des correctifs.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-des-produits-amd
